"","timestep","class","x","y","z"
"1",1,1,22,49,35
"2",2,1,22,49,35
"3",3,1,22,52,35
"4",4,1,22,52,35
"5",5,1,21,52,34
"6",6,1,22,51,34
"7",7,1,20,50,35
"8",8,1,22,52,34
"9",9,1,22,50,34
"10",10,1,22,51,35
"11",11,1,21,51,33
"12",12,1,20,50,34
"13",13,1,21,49,33
"14",14,1,21,49,33
"15",15,1,20,51,35
"16",16,1,18,49,34
"17",17,1,19,48,34
"18",18,1,16,53,34
"19",19,1,18,52,35
"20",20,1,18,51,32
"21",21,1,19,50,33
"22",22,1,19,53,33
"23",23,1,21,50,33
"24",24,1,21,51,33
"25",25,1,24,51,34
"26",26,1,25,50,35
"27",27,1,25,51,36
"28",28,1,25,50,38
"29",29,1,25,51,39
"30",30,1,26,49,40
"31",31,1,25,49,41
"32",32,1,25,47,42
"33",33,1,22,45,41
"34",34,1,21,48,41
"35",35,1,21,48,43
"36",36,1,21,47,41
"37",37,1,22,47,41
"38",38,1,21,47,42
"39",39,1,22,47,42
"40",40,1,22,47,42
"41",41,1,24,48,42
"42",42,1,20,49,41
"43",43,1,22,49,40
"44",44,1,24,47,38
"45",45,1,22,49,37
"46",46,1,24,49,36
"47",47,1,24,50,36
"48",48,1,23,49,37
"49",49,1,24,50,37
"50",50,1,23,49,36
"51",51,1,23,52,36
"52",52,1,23,51,37
"53",53,1,23,50,37
"54",54,1,24,50,38
"55",55,1,21,52,37
"56",56,1,22,51,38
"57",57,1,22,52,38
"58",58,1,24,52,39
"59",59,1,23,50,39
"60",60,1,22,50,39
"61",61,1,22,53,37
"62",62,1,23,51,39
"63",63,1,23,50,39
"64",64,1,23,50,39
"65",65,1,22,50,38
"66",66,1,22,50,37
"67",67,1,23,49,38
"68",68,1,23,50,38
"69",69,1,23,49,37
"70",70,1,22,51,38
"71",71,1,22,51,38
"72",72,1,22,50,38
"73",73,1,22,49,38
"74",74,1,23,49,37
"75",75,1,22,50,37
"76",76,1,22,49,38
"77",77,1,22,49,38
"78",78,1,23,52,38
"79",79,1,23,51,39
"80",80,1,22,50,38
"81",81,1,23,49,38
"82",82,1,23,49,38
"83",83,1,22,51,38
"84",84,1,23,50,38
"85",85,1,23,50,38
"86",86,1,23,50,37
"87",87,1,22,49,38
"88",88,1,24,50,38
